sampleID	location	chemotype	maternal_ID
Tv1822F	field	Myrox	M18
Tv1822G	greenhouse	Myrox	M18
Tv1824F	field	Myrox	M18
Tv1824G	greenhouse	Myrox	M18
Tv1845F	field	Myrox	M18
Tv1845G	greenhouse	Myrox	M18
Tv1847F	field	Keto	M18
Tv1847G	greenhouse	Keto	M18
Tv185F	field	Keto	M18
Tv185G	greenhouse	Keto	M18
Tv186F	field	Keto	M18
Tv186G	greenhouse	Keto	M18
Tv1860F	field	Myrox	M18
Tv1860G	greenhouse	Myrox	M18
Tv1881F	field	Myrox	M18
Tv1881G	greenhouse	Myrox	M18
Tv2613F	field	Keto	M26
Tv2613G	greenhouse	Keto	M26
Tv26152F	field	Myrox	M26
Tv26152G	greenhouse	Myrox	M26
Tv26153F	field	Myrox	M26
Tv26153G	greenhouse	Myrox	M26
Tv26165F	field	Myrox	M26
Tv26165G	greenhouse	Myrox	M26
Tv26173F	field	ABThu	M26
Tv26173G	greenhouse	ABThu	M26
Tv26193F	field	ABThu	M26
Tv26193G	greenhouse	ABThu	M26
Tv2626F	field	Keto	M26
Tv2626G	greenhouse	Keto	M26
Tv264F	field	Keto	M26
Tv264G	greenhouse	Keto	M26
Tv2643F	field	ABThu	M26
Tv2643G	greenhouse	ABThu	M26
Tv2644F	field	ABThu	M26
Tv2644G	greenhouse	ABThu	M26
Tv2645F	field	ABThu	M26
Tv2645G	greenhouse	ABThu	M26
Tv265F	field	Myrox	M26
Tv265G	greenhouse	Myrox	M26
Tv266F	field	Keto	M26
Tv266G	greenhouse	Keto	M26
Tv927F	field	ABThu	M09
Tv927G	greenhouse	ABThu	M09
Tv928F	field	ABThu	M09
Tv928G	greenhouse	ABThu	M09
Tv932F	field	ABThu	M09
Tv932G	greenhouse	ABThu	M09
Tv935F	field	ABThu	M09
Tv935G	greenhouse	ABThu	M09
Tv941F	field	ABThu	M09
Tv941G	greenhouse	ABThu	M09
Tv964F	field	Keto	M09
Tv964G	greenhouse	Keto	M09
Tv966F	field	Keto	M09
Tv966G	greenhouse	Keto	M09
Tv976F	field	Keto	M09
Tv976G	greenhouse	Keto	M09
Tv977F	field	Keto	M09
Tv977G	greenhouse	Keto	M09
negKo1	neg_ctrl	neg_ctrl	neg_ctrl
negKo2	neg_ctrl	neg_ctrl	neg_ctrl
negKo3	neg_ctrl	neg_ctrl	neg_ctrl
