Compound	Tv26173F	Tv26173G	Tv26193F	Tv26193G	Tv2643F	Tv2643G	Tv2644F	Tv2644G	Tv2645F	Tv2645G	Tv927F	Tv927G	Tv928F	Tv928G	Tv932F	Tv932G	Tv935F	Tv935G	Tv941F	Tv941G	Tv1847F	Tv1847G	Tv185F	Tv185G	Tv186F	Tv186G	Tv2613F	Tv2613G	Tv2626F	Tv2626G	Tv264F	Tv264G	Tv266F	Tv266G	Tv964F	Tv964G	Tv966F	Tv966G	Tv976F	Tv976G	Tv977F	Tv977G	Tv1822F	Tv1822G	Tv1824F	Tv1824G	Tv1845F	Tv1845G	Tv1860F	Tv1860G	Tv1881F	Tv1881G	Tv26152F	Tv26152G	Tv26153F	Tv26153G	Tv26165F	Tv26165G
1_8_cineole	1.270200531	0.88849902	1.72790502	1.111672386	1.71303976	0.990762116	9.48375544	12.87843132	1.304760884	1.080386241	7.4521954	4.011921317	5.094466738	3.060877207	7.05095294	2.373759578	7.897374153	4.372099896	5.640184575	2.826102668	0.576831989	0.516013088	1.796456617	0.917358582	3.123558862	2.624142364	0.334826643	0.503586472	0.63938089	0	0.625909357	0.379541937	0.268446815	0	2.266619165	1.730098717	1.941469231	0.898569725	0.668581822	0.988722857	1.447656581	0.762465177	9.995270969	15.01349307	8.113560209	12.23929976	6.505083493	13.31925018	13.99690972	23.97994766	5.891032172	8.231495845	13.52844668	20.7855679	5.544036274	8.919290772	8.176655627	12.98053708
a_pinene	0.264443432	0.047125424	0.201704421	0.046933256	0.132365015	0.140598848	0.626478375	0.302698607	0.22890587	0	1.229016742	0.509224011	0.56614427	0.253331154	0.362411502	0.085352913	2.001353302	1.380477898	0.330585878	0	0	0.210993985	0.531786818	0.652996349	0	0.285153047	0.190901866	0.152452192	0.167653808	0.706052176	0.498287454	1.110876511	0.261825127	0.519247708	0.875272655	1.568910662	0.724338514	0.452978123	0	0	0.195380278	0	1.212440635	1.129118057	0.926595365	1.271229405	0	0.289150274	0.506223676	0.632233918	0.248649937	0	0.393379555	0.480318079	0.288006817	0.292803291	0.239298005	0
a_thujene	0	0	0	0	0	0	0	0	0.111248369	0	0	0.109186868	0	0	0	0	0.08033723	0.257839657	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
a_thujone	63.08281945	66.22910654	64.27948572	68.56974785	63.87001465	67.13999903	81.48737213	79.09749007	53.88167981	67.10461358	48.82091211	54.36808386	55.61132709	63.17907171	74.92414127	86.1012485	41.61679694	49.00684322	77.1961485	82.36555896	0	0	0	0	0	0	13.24663883	16.10456231	0	0	0	0	0	0	0	0	0	0	0	0	13.39245612	22.78595343	0	0	0	0	0	0	0	0	24.77924752	24.74754948	0	0	19.8778791	13.44417663	16.1529986	18.31525297
artemisia_alcohol	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.87697583	5.010692176	9.181062347	10.56321183	7.020012132	3.536681797	9.962171039	5.560389746	10.5495197	3.960091672	11.34258517	4.949381248	17.1542986	2.741464933	8.311106061	6.757143054	11.37772512	2.71078725	4.635664908	2.611674142	11.48433899	4.411167167	0.376859428	0	0.47400494	0	0.611298142	0.470899126	0.884313303	0.536563058	2.435086927	0.489811182	1.561804748	0.435624994	1.042201859	0.548857221	1.667052024	0.570704849
artemisia_ketone	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	76.70461353	71.5298106	77.21602799	71.29710405	74.67500789	90.33300634	63.31261155	70.23499557	77.52536538	74.13997338	69.82343763	69.65003944	71.53749436	73.96076716	59.43738076	57.13528749	62.86557621	69.08516468	84.89990566	91.56584522	63.49466305	66.22404974	0	0	0	0	0	2.274104191	0	0	0	0	0	0	0	0	0	0
b_artemisia_acetate	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.558138106	1.390525304	0	0	0	0	0	0	0	0	0	0	1.371232419	0.692727618	0	0	12.78659743	3.854379537	9.032846534	6.835752388	6.189061443	3.337438623	15.66199083	9.162858561	10.16820733	8.45670536	20.72389263	9.691614343	21.78723102	7.219246027	13.61533172	9.556647261
b_Pinene	0	0	0.096164858	0	0	0	0.363554171	0.235521777	0.156717782	0	0.334973817	0	0.355225661	0	0.2631986	0	0.423555586	0.245516599	0.288173245	0	0	0	0.251697062	0.321975935	0	0	0	0	0	0.267181228	0	0.56407566	0.138792117	0.356435681	0	0.087875022	0	0	0	0	0	0	0.323486465	0.58748364	0.36949539	0.596581503	0	0.383728951	0.526220795	0.625050113	0.135395266	0	0	0	0	0.172121017	0.174149852	0
b_thujone	33.42682593	32.38515181	31.00243081	29.90152586	31.2150083	31.30973506	3.469162407	3.935626799	28.12764377	28.9080119	3.838719178	6.18108139	27.76004628	30.74573704	5.007921198	7.17628848	3.055573284	4.089986113	3.861512974	5.768485764	0	0	0	0	0	0	1.220769505	1.80917841	0	0	0	0	0	0	0	0	0	0	0	0	1.061663867	2.158599596	0	0	0	0	0	0	0	0	2.319830319	2.406019018	0	0	1.562766048	1.74804687	1.543047533	1.961417221
borneol	0	0	0	0	0	0	0	0	0	0	17.76472429	28.10509324	0	0	0	0	20.65675637	31.73746146	0	0	0.660133127	13.08013317	0.510131993	2.53251822	0	0	0	0	1.012180782	8.95236314	1.433541705	8.555143084	1.908644072	10.18653836	9.729505826	15.85261916	8.509827574	13.84601118	0	0	0	0	0	0	0	0	0	0	0.489049251	3.667122109	0	0	0	8.217003492	0	0	0	0
